id_venta,id_producto,id_sucursal,fecha,cantidad,monto
1,9,3,2023-01-01,12,22557.0
2,2,1,2023-01-02,10,24278.0
3,6,4,2023-01-03,17,39119.0
4,6,4,2023-01-04,7,17835.0
5,5,2,2023-01-05,7,49733.0
6,6,4,2023-01-06,17,7426.0
7,5,3,2023-01-07,16,10024.0
8,7,3,2023-01-08,7,20807.0
9,2,2,2023-01-09,2,43804.0
10,4,3,2023-01-10,2,33952.0
11,5,3,2023-01-11,17,4641.0
12,7,5,2023-01-12,8,17873.0
13,3,1,2023-01-13,19,14474.0
14,8,1,2023-01-14,1,43028.0
15,2,5,2023-01-15,17,38177.0
16,6,2,2023-01-16,13,42509.0
17,10,5,2023-01-17,11,9350.0
18,9,3,2023-01-18,17,37643.0
19,7,2,2023-01-19,8,8090.0
20,10,5,2023-01-20,3,16945.0
21,1,4,2023-01-21,3,8543.0
22,6,1,2023-01-22,4,49354.0
23,8,5,2023-01-23,19,41721.0
24,2,3,2023-01-24,14,3472.0
25,5,2,2023-01-25,18,25256.0
26,8,3,2023-01-26,16,34561.0
27,10,2,2023-01-27,2,42510.0
28,6,3,2023-01-28,17,25413.0
29,6,4,2023-01-29,12,26041.0
30,10,4,2023-01-30,8,41666.0
31,7,4,2023-01-31,2,12081.0
32,3,2,2023-02-01,14,15957.0
33,7,5,2023-02-02,1,48015.0
34,5,1,2023-02-03,18,10126.0
35,8,5,2023-02-04,5,23467.0
36,5,1,2023-02-05,10,38512.0
37,3,4,2023-02-06,18,41881.0
38,1,2,2023-02-07,1,30339.0
39,6,4,2023-02-08,11,3883.0
40,9,1,2023-02-09,19,15317.0
41,4,4,2023-02-10,17,45760.0
42,9,4,2023-02-11,7,34809.0
43,2,5,2023-02-12,19,19583.0
44,5,5,2023-02-13,4,10586.0
45,3,2,2023-02-14,12,9272.0
46,10,5,2023-02-15,12,23137.0
47,8,2,2023-02-16,4,29960.0
48,1,2,2023-02-17,6,14147.0
49,3,4,2023-02-18,16,27561.0
50,1,3,2023-02-19,15,32060.0
51,3,1,2023-02-20,10,45679.0
52,9,3,2023-02-21,18,2821.0
53,8,2,2023-02-22,9,8369.0
54,7,3,2023-02-23,4,17290.0
55,2,5,2023-02-24,8,16498.0
56,4,2,2023-02-25,1,46955.0
57,7,1,2023-02-26,5,11050.0
58,1,1,2023-02-27,19,1387.0
59,1,4,2023-02-28,13,30415.0
60,5,2,2023-03-01,8,43924.0
61,9,3,2023-03-02,17,4028.0
62,5,4,2023-03-03,3,48097.0
63,7,3,2023-03-04,13,32817.0
64,7,4,2023-03-05,6,47683.0
65,6,4,2023-03-06,16,42376.0
66,2,5,2023-03-07,11,49494.0
67,1,4,2023-03-08,8,48364.0
68,7,5,2023-03-09,1,25687.0
69,5,5,2023-03-10,19,34823.0
70,6,3,2023-03-11,17,27945.0
71,4,5,2023-03-12,4,38190.0
72,8,3,2023-03-13,14,22892.0
73,2,5,2023-03-14,3,38592.0
74,4,5,2023-03-15,3,26398.0
75,10,4,2023-03-16,12,36341.0
76,6,1,2023-03-17,2,27684.0
77,1,2,2023-03-18,11,36922.0
78,10,5,2023-03-19,3,27951.0
79,10,3,2023-03-20,3,13574.0
80,5,4,2023-03-21,11,44352.0
81,7,1,2023-03-22,12,19592.0
82,5,4,2023-03-23,8,45918.0
83,3,5,2023-03-24,5,29268.0
84,8,1,2023-03-25,14,11383.0
85,4,4,2023-03-26,15,4626.0
86,4,1,2023-03-27,3,22228.0
87,4,2,2023-03-28,6,35091.0
88,10,1,2023-03-29,18,36047.0
89,4,2,2023-03-30,19,13660.0
90,1,4,2023-03-31,8,26627.0
91,6,3,2023-04-01,3,31549.0
92,9,4,2023-04-02,15,12813.0
93,1,4,2023-04-03,8,28232.0
94,1,2,2023-04-04,3,49361.0
95,8,2,2023-04-05,10,10805.0
96,2,4,2023-04-06,4,48997.0
97,10,3,2023-04-07,14,10008.0
98,4,5,2023-04-08,10,34163.0
99,9,3,2023-04-09,19,30658.0
100,1,3,2023-04-10,9,13350.0
